X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.163744978805099,38.752390049565115,11,108,9,Halterofilista,"Avenida  Professor Egas Moniz, (Estádio Universitário)",,,,,"Estátua de bronze assente sobre base de pedra, representa uma figura masculina, de tamanho natural, a levantar um haltere. Obra de José Laranjeira Santos, foi executada em 1958 para o Estádio Universitário.

",-,0,89d2ba80-3cdc-45f1-9cd4-3ea05313f12a
-9.136461344300869,38.707523524602493,12,16,9,D. José I,Praça do Comércio,,,,,"D. José I (1714-1777), 25º rei de Portugal, subiu ao trono em 1750 por morte de seu pai, D. João V. Ficou conhecido na história portuguesa pelo cognome de ""Reformador"", graças às reformas empreendidas pelo seu primeiro-ministro, Sebastião José de Carvalho e Melo, mais tarde Marquês de Pombal. O grande mérito da sua governação residiu na escolha deste homem, que a pouco e pouco concentrou nas suas mãos todos os poderes do Estado, com repercussões na vida pública. O monumento, de 14 m de altura, erguido para homenagear D. José I integra a sua estátua equestre em bronze. De influência francesa e a primeira estátua em bronze fundida em Portugal é considerada uma das mais belas estátuas do género em toda a Europa, para além de ser a estátua pública mais antiga de Lisboa e do país. Assenta sobre um pedestal em pedra lioz de Pero Pinheiro, ladeado, respetivamente à esquerda e à direita, por esculturas alegóricas do ""Triunfo"" e da ""Fama"", que simbolizam feitos heroicos dos portugueses. Na frente do pedestal, voltada para o rio, destaca-se o grande brasão real, sob o qual foi colocado um medalhão em bronze com a efígie do Marquês de Pombal (retirado em 1777 e reposto em 1833). Na face oposta exibe uma alegoria em baixo-relevo à ""Generosidade Régia"", traduzindo o empenho do monarca na reconstrução da cidade destruída pela Terramoto. Desenhado por Eugénio dos Santos e executado por Machado de Castro, este monumento foi construído entre 1770 e 1775, tendo sido inaugurado com grande pompa, em 27 de maio desse mesmo ano, na Praça do Comércio, que está classificada como Monumento Nacional.",-,0,031f8c4a-1549-47ac-8552-cd3b446c19d6
-9.143150973355869,38.713169194423557,13,200,9,O Cauteleiro,Largo Trindade Coelho,,,,,"Estátua de homenagem aos cauteleiros, obra de Fernanda de Assis, foi inaugurada, no Largo Trindade Coelho, junto à Santa Casa da Misericórdia de Lisboa, em 18 de Novembro de 1987, no dia em que a Lotaria Nacional comemorava 204 anos. De bronze, com 1,78m de altura, a criação desta peça teve por base uma pesquisa fotográfica dos cauteleiros lisboetas, realizada pela escultora, com o objectivo de se inspirar.

",-,0,6155dd8d-82b0-418b-a75e-1cb1ed461f8e
-9.150088812313781,38.751504957521576,14,107,9,Sem título,"Campo Grande, Jardim do Campo Grande (Topo Sul)",,,,,"Escultura figurativa em bronze, assente sobre plinto de cantaria, localizada no Jardim do Campo Grande, junto ao parque infantil.

",-,0,4f1307dc-3e25-479a-bee5-ad51e268dbfa
-9.134204752052646,38.733643840379308,15,21,9,Fernão de Magalhães,Praça do Chile,,,,,"Ilustre navegador português, nascido em 1480, que, ao serviço de Espanha, empreendeu a 1ª viagem de circum-navegação e decobriu o estreito, que permite a passagem entre o Atlântico e o Pacífico. O monumento, de 15 m de altura, composto por estátua de bronze sobre pedestal de pedra, encontra-se na Praça do Chile. A 1ª pedra foi lançada em 1930, mas só 20 anos mais tarde, em 1950, viria a ser inaugurado. A estátua em bronze, oferecida pelo Chile, é da autoria do escultor chileno Guilherme Cordoba e aproxima-se muito dos trabalhos que se executavam em Portugal no fim do séc. XIX e início do séc. XX. Erguido à proa de uma embarcação, com o pé sobre o pau da giba, Fernão de Magalhães observa o horizonte distante. O pedestal que sustenta a estátua, foi executado em Portugal, desconhecendo-se o seu autor, e sugere a proa de um transatlântico, com vigias em baixo, traduzindo uma duplicação, uma vez que a figura do navegador assenta sobre outra proa.
Escultor - Guilherme Cordoba. Data - 1950. Material - Bronze. Estilo - Figurativo.
",-,1,a47e9fc5-8a65-4723-b0f3-d179f489ba6e
-9.152240486726704,38.751808963185582,16,90,9,Eça de Queiroz,"Campo Grande, (junto ao edifício da Biblioteca Nacional)",,,,,"Estátua de granito, obra de Álvaro de Brée em homenagem a Eça de Queiroz (1845-1900), um dos maiores vultos literários do séc. XIX, foi inaugurada em 10 de Abril de 1969, fazendo parte de um conjunto de figuras da literatura portuguesa especialmente esculpidas para o jardim da Biblioteca Nacional, por ocasião da sua transferência para o Campo Grande.

",-,0,6652da16-cca3-4800-8ef8-4737aad671d9
-9.141717454401881,38.710002303132967,17,310,9,Hommage a Pessoa,Largo de São Carlos,,,,,"Hommage a Pessoa é uma escultura de bronze, com cerca de 4 m de altura, executada, em 2001, pelo belga Jean-Michel Folon, e inaugurada por iniciativa camarária, em 13 de Junho de 2008, por ocasião do 120º Aniversário do nascimento do poeta. Adquirida pela edilidade na sequência de uma exposição do escultor que teve lugar no Castelo de São Jorge, a peça encontra-se instalada no Largo de São Carlos, em frente ao prédio onde Fernando Pessoa nasceu e viveu até aos 5 anos de idade.

",-,1,5815176d-3116-4aff-b660-153870344fa4
-9.15456998624339,38.758658958439703,18,162,9,Rafael Bordalo Pinheiro,"Campo Grande, Jardim do Campo Grande (frente ao Museu Rafael Bordalo Pinheiro)",,,,,"Rafael Bordalo Pinheiro (1846-1905), pintor, escultor,caricaturista político, desenhador e ceramista, fundou, em 1885, uma fábrica de cerâmica nas Caldas da Rainha e revolucionou por completo o estilo da chamada Louça das Caldas, a ponto de ter hoje, graças a ele, peças de museu de reconhecido valor. O monumento em sua homenagem é composto por busto, palma e base em bronze assente sobre plinto em pedra lioz. Obra do escultor Raul Xavier e do arq. J. Alexandre Soares, foi inaugurada em 20 de Março de 1921,na zona Norte do Jardim do Campo Grande, em frente ao Museu Rafael Bordalo Pinheiro.

",-,1,2f23432a-8353-47fc-bb59-9e2794ff814c
-9.129198861385783,38.763626371721791,19,244,9,S. Cristóvão,"Praça do Aeroporto, (Antiga Rotunda do Relógio)",,,,,"São Cristóvão, mártir, viveu no séc. III da era de Cristo, tendo pregado na Lícia. Santo padroeiro dos viajantes, automobilistas, atletas, carregadores, é também invocado contra as tempestades e os furacões. Esta estátua de mármore branco de Estremoz, medindo 3,20m de altura e pesando 6 toneladas, representa São Cristóvão de corpo inteiro com o Menino ao ombro, que inicialmente lhe parecera tão frágil, mas no fim, agonizante, entendera que era o mundo inteiro que transportava aos ombros. Esculpida por Leopoldo de Almeida, assenta sobre uma base rectangular estriada, em pedra, da autoria do arq. José Segurado, a qual ostenta uma tabela recortada com o nome do santo gravado. Foi inaugurada na Praça do Aeroporto (Rotunda do Relógio), no dia 25 de Julho de 1969.

",-,1,5d7acaa1-9afa-4f4d-8b2a-d8a979809611
-9.148690033008478,38.728169231532171,20,60,9,Manuel da Rocha,Avenida António Augusto de Aguiar,,,,,"O Engº Manuel da Rocha, (n. 1913 - m. 1981), foi Presidente da Ordem dos Engenheiros entre 23 de Julho de 1976 e 02 de Abril de 1979. Em sua homenagem foi erguido, em frente da referida Ordem, na Avenida António Augusto de Aguiar, um monumento composto pelo seu busto em bronze adossado a três blocos de pedra de várias tonalidades, organizados de forma escalonada. Da autoria de Mário Vaz, a peça data de 1993.",-,0,eae1af51-6a4a-4681-8dfa-93e9992dc688
-9.151156649573492,38.728009100791063,21,233,9,Mãe e Filho,Parque Eduardo VII de Inglaterra,,,,,"Peça em pedra composta por duas figuras nuas de mãe e filho, representando a maternidade, executada por António Duarte e inaugurada no Parque Eduardo VII, junto ao Pavilhão Carlos Lopes.

",-,1,569d358f-a058-4e30-8d95-3b137e818dab
-9.145435005542767,38.717882768039459,22,124,9,Alfredo Keil,"Praça da Alegria, Jardim Alfredo Keil",,,,,"Compositor musical e pintor, autor da música do Hino Nacional, foi homenageado com um busto de bronze sobre pedestal em pedra, da autoria do escultor Teixeira Lopes, inaugurado em 3 de Julho de 1957, no Jardim Alfredo Keil, localizado na Praça da Alegria.

",-,1,f31ebc15-c3e5-4ecc-bccd-c64455a71ade
-9.143556627385362,38.705820849734245,23,182,9,Marinheiro ao Leme,"Cais do Sodré, Jardim Roque Gameiro",,,,,"Monumento escultórico em pedra assente sobre plinto cúbico, também em pedra, executado em 1913 pelo escultor Francisco Santos e inaugurado em 1915, no Jardim Roque Gameiro, em frente da estação de comboios do Cais do Sodré. Obra figurativa, que representa um marinheiro ou pescador assente em redes de pesca à popa de uma embarcação, simbolizando a luta do homem contra a força do mar, bem visível através do seu corpo tenso e em esforço a acompanhar o barco, tentando resistir à onda.

",-,1,299eeafd-0530-4ca8-b67f-8b5713e34371
-9.204136028637949,38.705652005746067,24,266,9,João Gonçalves Zarco,Rua Gonçalves Zarco,,,,,"João Gonçalves Zarco (séc. XIV-séc. XV), contemporâneo e discípulo do Infante D. Henrique, notabilizou-se na epopeia marítima portuguesa, principalmente por ter sido o responsável pela descoberta e registo das ilhas de Porto Santo, em 1418, e da Madeira, em 1419. Em sua homenagem foi erguida uma estátua de bronze, com 4 m de altura, assente sobre pedestal em pedra.Executada por Augusto Cid, foi inaugurada,em 1994, na Rua Gonçalves Zarco.

",-,1,aff338fc-e12d-4750-ac88-82a65f18839b
-9.195991842085004,38.753427735483008,25,255,9,José Artigas,Avenida do Uruguai,,,,,"José Artigas (1774-1850), revolucionário sul-americano, ficou conhecido como o pai e herói da independência do Uruguai, conseguida no início do séc. XIX. Em sua homenagem ergue-se, na Praceta da Av. do Uruguai, o seu busto de bronze assente sobre pedestal em granito. Esta obra, da autoria de Juan Luis Blanes, foi oferecida pela Comunidade Luso-Uruguaia à cidade de Lisboa, tendo sido inaugurada em 18 de Julho de 1998.

",-,1,8dd97e4c-9cc6-474d-8e6a-3092a385551a
-9.129553230595715,38.762877062402858,26,245,9,Relógios,"Praça do Aeroporto, (Antiga Rotunda do Relógio)",,,,,"Da autoria de Francisco Simões, estas duas esculturas, que representam dois relógios de pulso inseridos em blocos de pedra, foram inauguradas, em 14 de Julho de 1999, na Praça do Aeroporto (antiga Rotunda do Relógio).

",-,1,639bf897-f407-4d39-939b-298f6db6073c
-9.155268759651783,38.758735278265782,27,165,9,D. Afonso Henriques,"Campo Grande, Jardim do Campo Grande (Topo Norte)",,,,,"Estátua de pedra de D. Afonso Henriques (1110-1185), 1º rei de Portugal, com 2,80m de altura, assenta sobre base rectangular, também de pedra.Executada por Leopoldo de Almeida, entre 1946 e 1950, foi inaugurada no edifício dos Paços do Concelho e posteriormente deslocada, em conjunto com a Estátua de D. João I, para o topo Norte do Jardim do Campo Grande, cuja inauguração ocorreu em 31 de Agosto de 1997, tendo substituído a Estátua do Marechal Carmona, transferida para o Museu da Cidade.

",-,1,749916e5-9a05-41bf-afa8-4b9c2022708d
-9.133591400342945,38.712748622210825,28,98,9,D. Manuel I,Castelo de São Jorge,,,,,"D. Manuel I (1469-1521), ""O Venturoso"", 14º rei de Portugal, reinou durante 26 anos, entre o final do séc. XV e o início do séc. XVI, época de grande actividade marítima portuguesa pelo mundo. A sua estátua executada, em 1933, pelo escultor Maximiano Alves, em pedra, representa D. Manuel de corpo inteiro sentado sobre uma base paralelepipédica, também, de pedra. Está colocada no Castelo de S. Jorge.

",-,1,6af5d16a-8f3b-42bb-87aa-e83d75577baa
-9.149050538610082,38.720216824224543,29,103,9,Mercúrio,"Rua  Castilho, Entrada do Edifício da Associação dos Comerciantes do Distrito de Lisboa",,,,,"Por iniciativa da Associação dos Comerciantes do Distrito de Lisboa, Mercúrio, o Arauto, deus da mitologia clássica, foi executado, em 1968, pelo escultor Leopoldo de Almeida. Esta peça em bronze, com cerca de 3 m de altura, encontra-se colocada à entrada do edifício da referida Associação, na Rua Castilho.

",-,0,4e7868f0-20c4-44a9-9920-1ede0db1348c
-9.148665562001812,38.723376905620647,30,67,9,Alexandre Herculano,Avenida da Liberdade,,,,,"Faz parte de um conjunto de quatro figuras ilustres do séc. XIX, executadas pelos mais influentes escultores do Estado Novo, que pontuam, em pares e em paralelo, os extremos dos talhões da Av. da Liberdade, onde ela se cruza com a Rua Alexandre Herculano. Estátua de mármore, com 2,88m de altura, sobre plinto de pedra, erigida por iniciativa da Câmara Municipal de Lisboa, em homenagem a este escritor da época do ""Romantismo"", historiador e homem público. Executada em 1945 pelo escultor Barata Feyo, foi inaugurada em 27 de maio de 1950.

",-,1,1062f168-8860-4800-a11e-e4c639d9b1ce
-9.144248519698655,38.71537689247014,31,130,9,D. Manuel I,"Rua de São Pedro de Alcântara, Jardim António Nobre",,,,,"Do conjunto de bustos de temática clássica e da História de Portugal, localizados no segundo tabuleiro do Jardim António Nobre ou Jardim de São Pedro de Alcântara, este busto decorativo de D. Manuel I (1469-1521), ""O Venturoso"", 14º rei de Portugal, que reinou durante 26 anos, entre o final do séc. XV e o início do séc. XVI, época de grande actividade marítima portuguesa pelo mundo, foi executado em pedra, por autor desconhecido, assentando sobre pedestal, também em pedra.
",-,0,2a030251-6ee0-4beb-b97c-2d41c2b883e1
-9.21722661402975,38.702726097971855,32,63,9,Mahatma Gandhi,"Avenida  Dom Vasco da Gama, Avenida do Restelo",,,,,"Mohandas Karamchand Gandhi (1869-1948), ficou conhecido por Mahatma Gandhi, em que Mahatma significa grande alma. Líder pacifista indiano, que lutou pelos direitos cívicos elementares dos hindus, tendo sido o principal protagonista da independência da India, revelando-se uma das grandes figuras mundiais do séc. XX. A estátua de bronze, em sua homenagem, da autoria de Gaupam Pal, foi oferecida pelo Governo da India à cidade de Lisboa, tendo sido inaugurada na Av. D. Vasco da Gama, em 12 de Setembro de 1998.
",-,1,cbabe18b-1e7c-4d2b-9852-1ef4b5f74ac6
-9.189295425359699,38.769166139699394,33,262,9,Padre Francisco da cruz,"Rua do Rio Tejo, (antiga Rua I (um) do Bairro Padre Cruz) ",,,,,"Padre Francisco da Cruz (1859-1948), sacerdote do Patriarcado de Lisboa e depois da Companhia de Jesus, foi na sua época um dos homens mais venerados em Portugal, em virtude do seu espírito generoso e da sua obra meritória. Em sua honra foi erguido um monumento de pedra com o seu busto, executado por Joaquim Martins Correia e inaugurado no Bairro Padre Cruz, em 3 de Junho de 1967.

",-,0,e442e4dd-895d-456c-a5c8-2d059a02fb86
-9.123969451909964,38.713365091026276,34,196,9,A Pátria,"Largo dos Caminhos de Ferro, (Pórtico do Museu Militar)",,,,,"A rematar a porta do Museu Militar, voltada para o Largo dos Caminhos de Ferro, surge uma alegoria à Pátria, representada por uma figura feminina, que empunha uma espada na mão direita e uma bandeira na mão esquerda, ladeada pelos filhos. Obra da autoria de António Teixeira Lopes (filho), foi executada, em pedra, entre 1895 e 1908.

",-,0,9f0356f0-49f6-448d-a8e4-ec15788e3350
-9.146366779477944,38.712897908466957,35,306,9,Escultura junto ao antigo Convento dos Inglesinhos,"Travessa dos Inglesinhos, (junto ao Antigo Convento dos Inglesinhos)",,,,,"Escultura abstracta em ferro aplicada num bloco de pedra, com autoria de Manuel Carna (?). Executada no início do séc. XXI, encontra-se localizada junto ao Antigo Convento dos Inglesinhos, tendo sido lá colocada após a recuperação e reconversão do mesmo.

",-,0,b0c772a2-d052-4885-8c62-d09e4400dcf9
-9.142032897813918,38.740063004742986,36,37,9,Padrão do Campo Pequeno,"Rua do Arco do Cego, (junto ao Auditório ao Ar Livre da Sede da CGD)",,,,,"O Padrão do Campo Pequeno erguido, por ordem da Rainha Santa Isabel, no séc. XIV, como atesta uma inscrição que data de cerca de 1323, num local próximo daquele que actualmente ocupa, perdeu uma guarda de ferro, as colunas do capitel e a guarnição superior com a sua deslocação. Do padrão de outrora conserva uma coluna singela, cuja base apresenta uma lápide comemorativa, possivelmente gravada já no séc. XVII, da intervenção da Rainha Santa na querela entre o rei D. Dinis e seu filho D. Afonso IV, que conduziu às negociações de paz. Está classificado como Monumento Nacional.

",-,0,e1ce9dec-b10f-434c-be4a-30995d6cb324
-9.215182499397358,38.691941591706325,37,297,9,Réplica da Torre de Belém,"Cais da Princesa, (junto à Torre de Belém)",,,,,"No âmbito das comemorações do Centenário do Rotary Internacional (1905-2005) e por iniciativa do Rotary Clube de Lisboa Norte foi colocada, junto à Torre de Belém, uma réplica em bronze da referida Torre, à escala 1:50, executada pela escultora Maria Leal da Costa, com o objectivo de possibilitar o conhecimento da estrutura da Torre a invisuais e outras pessoas.

",-,0,be3d5d76-4b7b-4408-a987-02bc0089df2e
-9.192516987886107,38.760572875968464,38,141,9,Carlos Seixas,"Estrada da Correia, Jardim da Casa do Artista",,,,,"Peça em pedra assente sobre base quadrangular, também de pedra, executada, em 1972, pelo escultor Euclides Vaz e inaugurada, por iniciativa camarária, em 30 de Janeiro de 2002, no Pátio da Casa do Artista.

",-,0,dfef0ee3-6a4e-4a8a-b7cf-5a922de40bb9
-9.144233435188394,38.714867825172718,39,19,9,Eduardo Coelho,"Rua de São Pedro de Alcântara, Jardim de São Pedro de Alcântara",,,,,"Localizado no Jardim de São Pedro de Alcântara foi erguido, em 1904, em memória do jornalista e escritor Eduardo Coelho (nascido em 1835), fundador do ""Diário de Notícias"", em 1863. O monumento, com as figuras em bronze, obra do arq. Álvaro Machado e do escultor Costa Motta (tio), é composto por um busto colocado sobre pedestal, em frente do qual sobe a base do monumento com um garoto figurado na atitude de apregoar o jornal.

",-,1,a8ae47fd-5c1a-4477-be71-c8439094a64b
-9.134054550143864,38.739627939506569,40,279,9,Praça João do Rio ou O Segundo Poema do Português Errante,Praça João do Rio,,,,,"Bloco de pedra de forma irregular localizado no Jardim da Praça João do Rio, o qual apresenta a inscrição de um poema de Manuel Alegre: Praça João do Rio ou o Segundo Poema do Português Errante.

",-,0,cad0008f-22b8-4d12-87ba-2421b770f9ff
-9.150171016247105,38.741023955204014,41,268,9,Guerreiro,Rua Laura Alves,,,,,"Por iniciativa do Hotel Barcelona, João Cutileiro foi o autor de uma escultura abstracta, simbolizando um guerreiro, executada em pedra mármore, que foi inaugurada, em 23 de Julho de 1992, num canteiro da Rua Laura Alves, em frente ao referido Hotel.

",-,1,8d7c0f21-0d3c-49b2-aada-6b149831c694
-9.134893343955603,38.710396933864345,42,305,9,Lápides das Pedras Negras,"Travessa das Pedras Negras, 1-3",,,,,"Estas quatro lápides, conhecidas como Lápides das Pedras Negras, apresentam inscrições romanas, sendo duas delas dedicadas aos deuses Mercúrio e Cibele. Integradas na fachada de um edifício do séc. XVIII, que sofreu modificações do séc. XIX, conhecido como Prédio do Almada, encontram-se classificadas como Monumento Nacional, desde 1910, tendo sido descobertas aquando da construção do referido imóvel, juntamente com imponentes ruínas romanas.

",-,0,b32e82a1-a38b-4348-bfa1-33cdbf0bc884
-9.150290056497008,38.751773030528014,43,164,9,Infância,"Campo Grande, Jardim do Campo Grande (Lago do topo Sul)",,,,,"Fonte-escultura, que representa uma caricatura, decorrente do desenho cartoonado, executada, em 1992, por Samuel Torres de Carvalho, mais conhecido por Sam, e traduz uma peça única, em bronze, resultante de várias formas que ao serem insufladas se transformaram numa só, à semelhança de um balão habilmente manipulado. Localizada na margem do lago do topo Sul do Jardim do Campo Grande foi inaugurada, em 17 de Setembro de 1993, por iniciativa da Câmara Municipal de Lisboa.

",-,1,773ce8cf-8fac-4d3e-bf6f-711e67baadd7
-9.173848737742402,38.769220697571377,44,57,9,Mahatma Gandhi,"Alameda  Mahatma Gandhi, (junto à Sede da Comunidade Hindu)",,,,,"Mohandas Karamchand Gandhi (1869-1948), ficou conhecido por Mahatma Gandhi, em que Mahatma significa grande alma. Líder pacifista indiano, que lutou pelos direitos cívicos elementares dos hindus, tendo sido o principal protagonista da independência da India, revelando-se uma das grandes figuras mundiais do séc. XX. A estátua, de bronze, em sua homenagem, mandada edificar por iniciativa privada, é uma obra da Rajan Yawalkar e foi inaugurada, em 1998, na Alameda Mahatma Gandhi,junto à sede da Comunidade Hindu.
",-,0,3fd7e19e-4ea5-4031-a02f-50daadc03c3c
-9.144361696644669,38.728515895718125,45,104,9,O Trabalho,"Avenida Duque de Loulé, (entrada do edifício da SPA)",,,,,"Peça de Dorita de Castel-Branco, modelada em bronze, entre 1974 e 1975. É uma obra abstracta evidenciada pela densidade do material utilizado, apresentando 1,46 m de altura e 2,03 m de largura. Executada por iniciativa da Sociedade Portuguesa de Autores (SPA), esta escultura foi inaugurada, em 3 de Fevereiro de 1975, à entrada da referida Sociedade, na Avenida Duque de Loulé.

",-,0,ed2e9ca4-5c39-4047-b5f1-a319f365a744
-9.153166009285847,38.736488402215095,46,50,9,La Grande Sauterelle,"Avenida de Berna, Jardim da Fundação Calouste Gulbenkian",,,,,"Executada em bronze pela escultora Germaine Richier, esta figura mutante, datada de 1946, surge colocada junto a um espelho de água, onde contempla a sua efígie híbrida, qual Narciso em fluxo metafórmico, entre o inseto e o humano, evidenciando alguns ecos surrealistas e uma certa tendência expressionista. A peça procura representar o momento de calma contraída que antecipa o salto.",-,0,40510e88-8066-4b8d-a9c2-e329ceec276f
